tmin,tmax,nbins,model,tau,etau,dev_over_ndf,rms_rD,nll
0.80000000,18.00000000,400,ExpBkg,2.09258486,0.03519477,1.17313060,1.07822281,232.86642390
0.80000000,20.00000000,150,ExpBkg,2.12329243,0.03493439,1.67275092,1.27974364,122.94719308
0.80000000,20.00000000,200,ExpBkg,2.12263409,0.03493635,1.34802595,1.15170715,132.78055615
0.80000000,20.00000000,250,ExpBkg,2.12265362,0.03493460,1.32978151,1.14551969,164.22801757
0.80000000,20.00000000,300,ExpBkg,2.12337696,0.03493487,1.28982160,1.12918730,191.53850806
0.80000000,20.00000000,400,ExpBkg,2.12328803,0.03494177,1.19044165,1.08601705,236.30266567
1.00000000,12.00000000,150,ExpBkg,2.12073581,0.04800341,1.18124160,1.07552950,86.82125777
1.00000000,12.00000000,200,ExpBkg,2.12033668,0.04797482,1.09843055,1.03972922,108.19540800
1.00000000,12.00000000,250,ExpBkg,2.12053418,0.04797760,1.20346022,1.08977792,148.62733857
1.00000000,12.00000000,300,ExpBkg,2.12002487,0.04796586,1.14595581,1.06441227,170.17443687
1.00000000,12.00000000,400,ExpBkg,2.12022532,0.04797382,1.07714687,1.03311157,213.81365453
1.00000000,15.00000000,150,ExpBkg,2.11198473,0.04121199,1.22103531,1.09346752,89.74609556
1.00000000,15.00000000,200,ExpBkg,2.11287082,0.04121344,1.14430862,1.06116458,112.71439926
1.00000000,15.00000000,250,ExpBkg,2.11172075,0.04120159,1.09598456,1.04002555,135.35409321
1.00000000,15.00000000,300,ExpBkg,2.11268052,0.04121445,1.18994745,1.08462607,176.70719645
1.00000000,15.00000000,400,ExpBkg,2.11272804,0.04121713,1.26482467,1.11933371,251.06769808
1.00000000,18.00000000,150,ExpBkg,2.10163695,0.03790435,1.11450879,1.04477801,81.91639676
1.00000000,18.00000000,200,ExpBkg,2.10122974,0.03789429,0.98781878,0.98606353,97.30014989
1.00000000,18.00000000,250,ExpBkg,2.10110063,0.03789374,1.16970265,1.07447707,144.45827728
