0	16112	13910	12044	10053	
1	16111	13908	12044	10056	
2	16111	13913	12044	10051	
3	16113	13914	12050	10052	
4	16114	13912	12052	10051	
5	16115	13912	12049	10047	
6	16119	13914	12052	10056	
7	16120	13914	12059	10053	
8	16112	13911	12046	10053	
9	16112	13910	12048	10054	
10	16118	13910	12050	10055	
11	16119	13914	12051	10047	
12	16118	13911	12055	10052	
13	16117	13908	12041	10052	
14	16117	13914	12048	10050	
15	16114	13911	12050	10056	
16	16116	13913	12047	10048	
17	16113	13915	12049	10048	
18	16114	13915	12049	10047	
19	16118	13915	12051	10056	
20	16114	13912	12042	10053	
21	16117	13918	12042	10052	
22	16114	13914	12044	10054	
23	16117	13914	12052	10051	
24	16114	13915	12044	10053	
25	16114	13914	12045	10050	
26	16116	13918	12048	10055	
27	16118	13913	12046	10047	
28	16118	13912	12046	10053	
29	16109	13914	12046	10053	
30	16119	13918	12047	10053	
31	16119	13914	12046	10054	
32	16113	13905	12044	10052	
33	16115	13909	12041	10049	
34	16115	13915	12052	10051	
35	16115	13913	12046	10048	
36	16111	13916	12049	10049	
37	16112	13913	12050	10048	
38	16116	13916	12046	10052	
39	16112	13913	12051	10056	
40	16118	13913	12048	10048	
41	16113	13915	12047	10050	
42	16121	13911	12053	10046	
43	16120	13916	12048	10051	
44	16112	13911	12045	10053	
45	16118	13913	12046	10051	
46	16116	13911	12047	10052	
47	16119	13920	12049	10050	
48	16112	13908	12048	10050	
49	16113	13911	12048	10056	
50	16115	13909	12047	10053	
51	16119	13907	12041	10050	
52	16118	13913	12048	10057	
53	16115	13912	12048	10053	
54	16109	13912	12051	10049	
55	16114	13912	12049	10051	
56	16112	13911	12049	10050	
57	16116	13914	12045	10047	
58	16115	13913	12044	10048	
59	16116	13914	12049	10050	
60	16117	13911	12046	10051	
61	16116	13915	12049	10053	
62	16114	13916	12053	10056	
63	16115	13913	12048	10051	
64	16119	13912	12052	10051	
65	16116	13911	12047	10049	
66	16118	13913	12052	10053	
67	16116	13914	12052	10050	
68	16113	13916	12047	10050	
69	16118	13917	12053	10051	
70	16121	13916	12046	10050	
71	16118	13912	12042	10049	
72	16114	13915	12043	10051	
73	16120	13916	12042	10047	
74	16113	13916	12048	10054	
75	16117	13914	12050	10055	
76	16115	13909	12046	10048	
77	16117	13918	12049	10049	
78	16118	13915	12047	10050	
79	16119	13911	12046	10053	
80	16116	13912	12047	10055	
81	16115	13914	12046	10055	
82	16118	13914	12048	10050	
83	16122	13921	12051	10057	
84	16118	13912	12053	10053	
85	16114	13913	12047	10054	
86	16110	13918	12043	10046	
87	16115	13916	12043	10049	
88	16117	13909	12046	10046	
89	16112	13910	12047	10054	
90	16113	13916	12049	10051	
91	16112	13911	12049	10051	
92	16115	13915	12048	10050	
93	16116	13917	12049	10047	
94	16116	13917	12049	10050	
95	16114	13916	12049	10048	
96	16107	13914	12050	10044	
97	16118	13913	12048	10052	
98	16117	13916	12046	10050	
99	16119	13917	12048	10057	
100	16116	13915	12049	10050	
101	16118	13914	12045	10053	
102	16114	13915	12045	10052	
103	16115	13915	12049	10052	
